# Errors from -32000 to -32099 => Server error: Reserved for implementation-defined server-errors.

1060		NEEDS_2_NUMBERS_OR_SPECIAL_CHARACTERS	Your password must be at least 2 numbers or special characters
1061		NO_SUPPORT_FOR_CERTIFICATE		No support for certificate

1062		ADMIN_CPF_IS_NOT_VALID			CPF is not valid

1300		EXPRESSO_INVALID_DATE			Invalid Date
1301		EXPRESSO_INVALID_OBRIGATORY_FIELD			Invalid Obrigatory Field
1302		EXPRESSO_INVALID_INTEGER		Invalid Integer


2120		SMS_DISABLED					sms disabled
2121		WS_SMS_ERROR					%1
2122		UNKNOWN_OPTION					unknown option '%1'
2123		SMS_CHECK_CODE_REACHED			sms daily limit reached
2124		SMS_CHECK_CODE_INVALID			checking code invalid
2125		SMS_CHECK_CODE_EXPIRED			checking code expired
2126		SMS_CHECK_CODE_NOT_FOUND		checking code not found
2127		SMS_RECV_DENIED					sms receive denied
2128		MOBILE_INVALID					invalid phone number
2129		SMS_SEND_DENIED					sms send denied
2130		SMS_EMPTY_MESSAGE				sms empty message

2031		ADMIN_MAIL_EMPTY				Mail empty

2200		APPS_INVALID_USER				Invalid User ID.

2201		NOT_FOUND_PROFILE_HOME_SERVER	Not found profileHomeServer
